Location	Area	Latitude	Longitude	Lat-decimal	Long.-decimal	Elevation	ID	4 Letter ID	LDM ID	Node	Logger ID	SHEF ID
5ENE Abernathy	Abernathy/Hale County	N33º 52' 31.38"	W101º 45' 25.86"	33.87538	-101.75718	3333 ft.	ABER	KARS	XARS	1365	2	ARST2
7SSE Amarillo	Amarillo/Randall County	N35º 06' 45.73"	W101º 47' 58.72"	35.11270	-101.79964	3611 ft.	AMAS	KAM1	XAM1	1492	75	ASOT2
1NE Amherst	Amherst/Lamb County	N34º 01' 18.40"	W102º 24' 16.30"	34.02178	-102.40453	3647 ft.	AMHE	KAMH	XAMH	15	16	ATST2
2E Andrews	Andrews/Andrews County	N32º 19' 12.30"	W102º 31' 00.10"	32.32008	-102.51669	3169 ft.	ANDR	KANS	XANS	1412	48	AWST2
6SSW Anton	Anton/Hockley County	N33º 43' 30.90"	W102º 11' 26.95"	33.72525	-102.19082	3405 ft.	ANTO	KAOS	XAOS	1393	30	AOST2
3NE Aspermont	Aspermont (Stonewall Co. Airp.)	N33º 10' 04.654"	W100º 11' 45.656"	33.16789	-100.19602	1740 ft	ASPE	KASR	XASR	1402	41	ASST2
1WNW Big Lake	Big Lake (Reagan Co. Airport)	N31º 11' 35.20"	W101º 28' 09.71"	31.19311	-101.46936	2701 ft.	BIGL	KBI1	XBI1	1427	64	BIGT2
11 WNW Bootleg	Western Deaf Smith County	N34º 53' 10.05"	W102º 59' 25.22"	34.88613	-102.99034	4423 ft.	BOOT	KBO1	XBO1	1486	69	BLST2
2S Brownfield	Brownfield/Terry County	N33º 09' 06.78"	W102º 16' 15.66"	33.15188	-102.27102	3314 ft.	BROW	KBWS	XBWS	17	10	BWST2
6E Canadian	Gene Howe WMA/Hemphill	N35º 55' 06.31''	W100º 17' 04.29"	35.91842	-100.28453	2425 ft.	CANA	KCA1	XCA1	1484	67	CNST2
13E Canyon	Palo Duro Canyon State Park	N34º 59' 08.32''	W101º 41' 32.94"	34.98564	-101.69248	3461 ft.	PALO	KPD1	XPD1	1485	68	PDST2
2NNE Childress	Childress/Childress County	N34º 27' 23.40"	W100º 11' 56.10"	34.45650	-100.19891	1943 ft.	CHIL	KCXS	XCXS	1414	50	CXST2
2WSW Clarendon	Clarendon/Donley County	N34º 55' 29.70"	W100º 55' 48.00"	34.92492	-100.93000	2836 ft.	CLAR	KCES	XCES	1399	35	CEST2
12SW Claude 	North Rim PDC/Armstrong Co.	N34º 58' 59.98"	W101º 30' 02.04"	34.98332	-101.50057	3451 ft.	CLAU	KCL1	XCL1	1491	74	CLUT2
2N Coyanosa	Coyanosa/Pecos County	N31º 16' 36.07"	W103º 04' 01.49"	31.27669	-103.06708	2569 ft.	COYA	KCO1	XCO1	1426	63	CYAT2
7WNW Denver City	Denver City/Yoakum County	N32º 59' 26.95"	W102º 56' 19.35"	32.99082	-102.93871	3652 ft.	DENV	KDVS	XDVS	1403	45	DVST2
2NE Dimmitt	Dimmitt/Castro County	N34º 34' 03.05"	W102º 17' 35.40"	34.56751	-102.29317	3876 ft.	DIMM	KDMS	XDMS	21	21	DMST2
2SW Dora NM	Dora, NM/Roosevelt County	N33º 55' 12.19"	W103º 21' 27.96"	33.92005	-103.35778	4340 ft.	DORA	KDR1	XDR1	1417	53	DORN5
2NNE Floydada	Floydada/Floyd County	N34º 00' 05.70"	W101º 19' 33.18"	34.00158	-101.32588	3179 ft.	FLOY	KFLS	XFLS	1371	8	FLST2
3WNW Fluvanna	Northeast Borden County	N32º 53' 56.50"	W101º 12' 06.71"	32.89903	-101.20189	2705 ft.	FLUV	KFVS	XFVS	32	31	FVST2
2NE Friona	Friona/Parmer County	N34º 39' 16.20"	W102º 41' 27.50"	34.65450	-102.69097	4005 ft.	FRIO	KFAS	XFAS	1383	20	FAST2
2 ESE Gail	Gail/Borden County	N32º 45' 18.26"	W101º 24' 51.64"	32.75508	-101.41439	2547 ft.	GAIL	KGGS	XGGS	1389	26	GGST2
3W Goodlett	Western Hardeman County	N34º 20' 37.90"	W  99º 56' 23.00" 	34.34389	-99.93972	1644 ft.	GOOD	KGDS	XGDS	1407	43	GDST2
5SSW Graham	Graham/Garza County	N33º 04' 53.47"	W101º 30' 58.13"	33.08152	-101.51615	2870 ft	MACY	KGHS	XGHS	22	28	GHST2
